Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Management,LP-1,10037,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:29 AM,01/Apr/26 11:41 AM,02/Apr/26 10:13 AM,,06/Apr/26 12:00 AM,0,User related Tasks ,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe90d53,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i00013:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
Write test case for Email field validation and duplication in profile management,LP-75,10221,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,,0,Create test cases to verify that the Email field accepts only valid email formats and displays an error message if the email already exists in the system.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bfe772e,,,,,,,,,,,,,,,,0|i000en:,,,LP Sprint 1,,,,,,,,,,,,,10211,LP-72,Write functionality testcase for user profile management,To Do,02/Apr/26 11:27 AM
Write test case for Mobile Number OTP verification in profile management,LP-76,10219,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,,0,"Write test cases to ensure that OTP verification is required when updating the mobile number in the user profile, and that the process works as expected.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c25d103,,,,,,,,,,,,,,,,0|i000ev:,,,LP Sprint 1,,,,,,,,,,,,,10211,LP-72,Write functionality testcase for user profile management,To Do,02/Apr/26 11:27 AM
Write test case for Change Password - New Password validation,LP-77,10220,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,,0,Create test cases to ensure the new password follows the same rules as registration and cannot be the same as the old password.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44ca9cae,,,,,,,,,,,,,,,,0|i000f3:,,,LP Sprint 1,,,,,,,,,,,,,10211,LP-72,Write functionality testcase for user profile management,To Do,02/Apr/26 11:27 AM
Write functionality testcase for user navigating to coursepage,LP-78,10222,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:28 AM,02/Apr/26 11:28 AM,02/Apr/26 11:29 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@123fe01b,,,,,,,,,,,,,,,,0|i000fb:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:28 AM
Write test case for navigating to course page via category selection,LP-79,10225,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:29 AM,02/Apr/26 11:29 AM,,,,0,Ensure that a user can access the course page by browsing through categories and selecting a course from the category listing.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22fbcc40,,,,,,,,,,,,,,,,0|i000fj:,,,LP Sprint 1,,,,,,,,,,,,,10222,LP-78,Write functionality testcase for user navigating to coursepage,To Do,02/Apr/26 11:29 AM
Write test case for navigating to course page via search,LP-80,10226,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:29 AM,02/Apr/26 11:29 AM,,,,0,Verify that a user can successfully navigate to the course page by searching for a course using the search bar and selecting it from the search results.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24ab4672,,,,,,,,,,,,,,,,0|i000fr:,,,LP Sprint 1,,,,,,,,,,,,,10222,LP-78,Write functionality testcase for user navigating to coursepage,To Do,02/Apr/26 11:29 AM
Write functionality testcase for course details,LP-81,10227,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:30 AM,02/Apr/26 11:31 AM,02/Apr/26 11:31 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@fb73eb9,,,,,,,,,,,,,,,,0|i000fz:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:30 AM
Write test case for displaying course duration,LP-82,10231,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:32 AM,02/Apr/26 11:32 AM,,,,0,Check that the course duration is shown and matches the expected value on the course details page.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59cde18e,,,,,,,,,,,,,,,,0|i000g7:,,,LP Sprint 1,,,,,,,,,,,,,10227,LP-81,Write functionality testcase for course details,To Do,02/Apr/26 11:32 AM
Write test case for displaying number of lectures,LP-83,10233,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:32 AM,02/Apr/26 11:32 AM,,,,0,Confirm that the total number of lectures in the course is displayed correctly on the course details page.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6014acd5,,,,,,,,,,,,,,,,0|i000gf:,,,LP Sprint 1,,,,,,,,,,,,,10227,LP-81,Write functionality testcase for course details,To Do,02/Apr/26 11:32 AM
Write test case for displaying full course description,LP-84,10234,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:32 AM,02/Apr/26 11:32 AM,,,,0,Ensure that the full course description is visible and accurately presented to the user.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70ab6395,,,,,,,,,,,,,,,,0|i000gn:,,,LP Sprint 1,,,,,,,,,,,,,10227,LP-81,Write functionality testcase for course details,To Do,02/Apr/26 11:32 AM
Write test case for displaying course title,LP-85,10235,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:32 AM,02/Apr/26 11:32 AM,,,,0,Verify that the course title is correctly displayed on the course details page.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d797aa3,,,,,,,,,,,,,,,,0|i000gv:,,,LP Sprint 1,,,,,,,,,,,,,10227,LP-81,Write functionality testcase for course details,To Do,02/Apr/26 11:32 AM
Write functionality testcase for course card layout,LP-86,10236,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:33 AM,02/Apr/26 11:33 AM,02/Apr/26 11:33 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@611c2c80,,,,,,,,,,,,,,,,0|i000h3:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:33 AM
Write test case for displaying course price with discount logic,LP-87,10241,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,"Verify that the course card shows the price in ₹ format, displays the original price with strikethrough if discounted, and shows the discounted price prominently.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59b5be1b,,,,,,,,,,,,,,,,0|i000hb:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write test case for displaying instructor name,LP-88,10242,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,Check that the course card correctly displays the trainer's name associated with the course.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2753fb89,,,,,,,,,,,,,,,,0|i000hj:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write test case for displaying course rating as stars,LP-89,10244,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,"Ensure the course card displays the course rating as stars, with values ranging from 1 to 5.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11274b2c,,,,,,,,,,,,,,,,0|i000hr:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write test case for displaying course thumbnail with default fallback,LP-90,10246,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,"Verify that the course card displays the course thumbnail image if available, and shows a default image (JPG/PNG) when no thumbnail is provided.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77b60be5,,,,,,,,,,,,,,,,0|i000hz:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write test case for displaying course title with validation,LP-91,10245,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,"Ensure the course card displays the course title, enforces a maximum of 100 characters, and does not allow the title to be blank.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f55f4f4,,,,,,,,,,,,,,,,0|i000i7:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write test case for displaying enrollment status,LP-92,10248,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:34 AM,02/Apr/26 11:34 AM,,,,0,Check that the course card indicates if the user is already enrolled in the course.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a5186af,,,,,,,,,,,,,,,,0|i000if:,,,LP Sprint 1,,,,,,,,,,,,,10236,LP-86,Write functionality testcase for course card layout,To Do,02/Apr/26 11:34 AM
Write functionality testcase for Courses video preview,LP-93,10249,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:35 AM,02/Apr/26 11:35 AM,02/Apr/26 11:35 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6bfc05e2,,,,,,,,,,,,,,,,0|i000in:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:35 AM
Write test case for availability of video preview,LP-94,10252,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:36 AM,02/Apr/26 11:36 AM,,,,0,"Verify that the video preview is available and visible to users where expected, and that it loads correctly on the course page.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@be5a128,,,,,,,,,,,,,,,,0|i000iv:,,,LP Sprint 1,,,,,,,,,,,,,10249,LP-93,Write functionality testcase for Courses video preview,To Do,02/Apr/26 11:36 AM
Write test case for Play/Pause controls in video preview,LP-95,10253,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:36 AM,02/Apr/26 11:36 AM,,,,0,"Ensure that the Play and Pause controls are present and function correctly, allowing users to start and stop the video preview as intended.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@208b121d,,,,,,,,,,,,,,,,0|i000j3:,,,LP Sprint 1,,,,,,,,,,,,,10249,LP-93,Write functionality testcase for Courses video preview,To Do,02/Apr/26 11:36 AM
Write functionality testcase for enroll now button,LP-96,10254,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:37 AM,02/Apr/26 11:37 AM,02/Apr/26 11:37 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c013a13,,,,,,,,,,,,,,,,0|i000jb:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:37 AM
Write test case for enroll now button redirecting to payment for paid courses,LP-97,10257,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:38 AM,02/Apr/26 11:38 AM,,,,0,Verify that clicking the enroll now button on a paid course redirects the user to the payment gateway or payment page.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@517c1c03,,,,,,,,,,,,,,,,0|i000jj:,,,LP Sprint 1,,,,,,,,,,,,,10254,LP-96,Write functionality testcase for enroll now button,To Do,02/Apr/26 11:38 AM
Write test case for enroll now button enrolling user directly for free courses,LP-98,10258,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:38 AM,02/Apr/26 11:38 AM,,,,0,"Ensure that clicking the enroll now button on a free course enrolls the user immediately without redirecting to payment, and provides appropriate confirmation.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64141887,,,,,,,,,,,,,,,,0|i000jr:,,,LP Sprint 1,,,,,,,,,,,,,10254,LP-96,Write functionality testcase for enroll now button,To Do,02/Apr/26 11:38 AM
Write functionality testcase for user enrolled courses ,LP-99,10259,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:38 AM,02/Apr/26 11:38 AM,02/Apr/26 11:38 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@296cf1d6,,,,,,,,,,,,,,,,0|i000jz:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:38 AM
Write test case for displaying all enrolled courses,LP-100,10261,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:39 AM,02/Apr/26 11:39 AM,,,,0,"Verify that the system displays the complete list of courses a user is enrolled in, including course titles and relevant details.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64f7315f,,,,,,,,,,,,,,,,0|i000k7:,,,LP Sprint 1,,,,,,,,,,,,,10259,LP-99,Write functionality testcase for user enrolled courses ,To Do,02/Apr/26 11:39 AM
Write functionality testcase for user course progress,LP-101,10262,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:39 AM,02/Apr/26 11:40 AM,02/Apr/26 11:40 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68027704,,,,,,,,,,,,,,,,0|i000kf:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:39 AM
Write test case for displaying user course progress percentage,LP-102,10264,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:40 AM,02/Apr/26 11:40 AM,,,,0,Create a test case to verify that the user's course progress percentage is accurately displayed on the course page or dashboard.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@289c14b6,,,,,,,,,,,,,,,,0|i000kn:,,,LP Sprint 1,,,,,,,,,,,,,10262,LP-101,Write functionality testcase for user course progress,To Do,02/Apr/26 11:40 AM
Write functionality testcase for user Continue learning ,LP-103,10265,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:41 AM,02/Apr/26 11:42 AM,02/Apr/26 11:41 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59623621,,,,,,,,,,,,,,,,0|i000kv:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:41 AM
Write test case for resuming course from last completed lesson,LP-104,10267,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:42 AM,02/Apr/26 11:42 AM,,,,0,"Create a test case to verify that when a user resumes a course, they are taken to the last lesson or module they completed.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d235fbd,,,,,,,,,,,,,,,,0|i000l3:,,,LP Sprint 1,,,,,,,,,,,,,10265,LP-103,Write functionality testcase for user Continue learning ,To Do,02/Apr/26 11:42 AM
